Freq	S11	S11ang	S21	S21ang	S12	S12ang	S22	S22ang				
10000000	9.78E-01	-7.20E+00	1.03E+01	-3.67E+01	-1.52E+01	-3.41E+01	3.14E+01	9.92E+01				
99950000	3.79E-01	-8.49E+01	1.23E+00	1.78E+02	-2.76E+01	-2.53E+01	1.85E+01	1.55E+02				
189900000	-9.86E-01	-1.51E+02	-2.60E+00	-1.37E+02	-3.05E+01	-9.48E+01	2.05E+01	1.57E+02				
279850000	-1.57E+00	1.64E+02	-1.09E+00	-1.26E+02	-4.30E+01	-2.57E+01	2.06E+01	1.57E+02				
369800000	-1.73E+00	1.30E+02	-1.01E+01	-4.65E+01	-3.39E+01	-3.49E+01	2.06E+01	1.54E+02				
459750000	-1.98E+00	9.75E+01	1.63E-02	6.78E+01	-5.32E+01	-3.07E+01	2.01E+01	1.56E+02				
549700000	-2.06E+00	7.26E+01	7.63E+00	-5.34E+00	-4.06E+01	1.43E+02	1.93E+01	1.56E+02				
639650000	-3.06E+00	4.99E+01	1.36E+01	-6.76E+01	-3.22E+01	-8.53E+01	2.02E+01	1.57E+02				
729600000	-3.92E+00	3.06E+01	1.89E+01	-1.26E+02	-3.57E+01	1.50E+02	2.06E+01	1.55E+02				
819550000	-5.10E+00	1.01E+01	2.15E+01	1.78E+02	-4.93E+01	2.28E+01	2.09E+01	1.53E+02				
909500000	-6.11E+00	-1.58E+00	2.34E+01	1.26E+02	-4.35E+01	-4.22E+01	2.02E+01	1.44E+02				
999450000	-6.84E+00	-7.32E+00	2.49E+01	8.11E+01	-3.65E+01	-6.04E+01	2.06E+01	1.43E+02				
1089400000	-7.59E+00	-1.96E+01	2.59E+01	3.63E+01	-4.21E+01	-3.38E+01	2.10E+01	1.36E+02				
1179350000	-8.33E+00	-2.48E+01	2.62E+01	-6.21E+00	-4.63E+01	9.67E+01	2.11E+01	1.38E+02				
1269300000	-8.68E+00	-2.85E+01	2.66E+01	-4.36E+01	-4.12E+01	1.19E+02	2.12E+01	1.38E+02				
1359250000	-8.76E+00	-3.81E+01	2.68E+01	-8.05E+01	-3.91E+01	-1.40E+02	2.12E+01	1.37E+02				
1449200000	-9.22E+00	-4.20E+01	2.70E+01	-1.16E+02	-4.07E+01	-6.28E+00	2.13E+01	1.36E+02				
1539150000	-9.53E+00	-4.72E+01	2.70E+01	-1.51E+02	-4.28E+01	9.28E+01	2.16E+01	1.36E+02				
1629100000	-9.56E+00	-5.05E+01	2.71E+01	1.76E+02	-5.02E+01	3.82E+01	2.12E+01	1.31E+02				
1719050000	-9.49E+00	-5.99E+01	2.72E+01	1.45E+02	-4.26E+01	2.80E+01	2.17E+01	1.32E+02				
1809000000	-9.30E+00	-6.71E+01	2.73E+01	1.13E+02	-3.73E+01	1.46E+02	2.18E+01	1.30E+02				
1898950000	-9.67E+00	-7.23E+01	2.72E+01	8.39E+01	-4.47E+01	-1.64E+02	2.23E+01	1.29E+02				
1988900000	-9.88E+00	-7.55E+01	2.74E+01	5.19E+01	-3.50E+01	2.80E+01	2.20E+01	1.29E+02				
2078850000	-9.78E+00	-8.33E+01	2.73E+01	2.25E+01	-4.58E+01	-1.23E+02	2.30E+01	1.26E+02				
2168800000	-1.01E+01	-9.02E+01	2.72E+01	-7.76E+00	-3.57E+01	1.09E+02	2.24E+01	1.29E+02				
2258750000	-9.78E+00	-9.61E+01	2.75E+01	-3.58E+01	-3.62E+01	-1.43E+02	2.33E+01	1.27E+02				
2348700000	-9.99E+00	-1.00E+02	2.76E+01	-6.59E+01	-3.58E+01	9.10E+00	2.31E+01	1.28E+02				
2438650000	-9.83E+00	-1.06E+02	2.77E+01	-9.25E+01	-4.56E+01	-1.77E+02	2.30E+01	1.26E+02				
2528600000	-1.06E+01	-1.07E+02	2.80E+01	-1.24E+02	-3.86E+01	1.39E+02	2.43E+01	1.30E+02				
2618550000	-1.07E+01	-1.17E+02	2.78E+01	-1.49E+02	-4.94E+01	-1.34E+02	2.44E+01	1.23E+02				
2708500000	-1.07E+01	-1.22E+02	2.76E+01	1.80E+02	-4.10E+01	1.66E+02	2.48E+01	1.23E+02				
2798450000	-1.10E+01	-1.27E+02	2.77E+01	1.51E+02	-3.37E+01	4.66E+00	2.53E+01	1.19E+02				
2888400000	-1.14E+01	-1.31E+02	2.77E+01	1.24E+02	-4.01E+01	5.86E+01	2.58E+01	1.20E+02				
2978350000	-1.07E+01	-1.40E+02	2.77E+01	9.57E+01	-3.97E+01	-1.23E+02	2.60E+01	1.14E+02				
3068300000	-1.12E+01	-1.41E+02	2.79E+01	6.77E+01	-4.42E+01	-7.40E+00	2.63E+01	1.14E+02				
3158250000	-1.13E+01	-1.48E+02	2.75E+01	3.93E+01	-3.88E+01	-1.22E+02	2.58E+01	1.10E+02				
3248200000	-1.13E+01	-1.55E+02	2.78E+01	1.19E+01	-3.31E+01	1.71E+01	2.67E+01	1.08E+02				
3338150000	-1.16E+01	-1.58E+02	2.78E+01	-1.49E+01	-4.40E+01	-1.59E+02	2.66E+01	1.07E+02				
3428100000	-1.17E+01	-1.63E+02	2.78E+01	-4.34E+01	-4.16E+01	-6.19E+01	2.74E+01	1.01E+02				
3518050000	-1.23E+01	-1.70E+02	2.76E+01	-7.17E+01	-4.13E+01	-1.03E+02	2.73E+01	1.07E+02				
3608000000	-1.25E+01	-1.74E+02	2.77E+01	-9.72E+01	-3.61E+01	4.72E+01	2.79E+01	9.67E+01				
3697950000	-1.26E+01	1.78E+02	2.77E+01	-1.25E+02	-3.44E+01	-5.71E+01	2.77E+01	9.87E+01				
3787900000	-1.17E+01	1.72E+02	2.77E+01	-1.54E+02	-4.52E+01	-6.57E+00	2.81E+01	8.95E+01				
3877850000	-1.27E+01	1.69E+02	2.75E+01	-1.79E+02	-4.17E+01	-1.53E+02	2.82E+01	9.10E+01				
3967800000	-1.22E+01	1.66E+02	2.74E+01	1.54E+02	-5.02E+01	-7.33E+01	2.82E+01	8.79E+01				
4057750000	-1.35E+01	1.55E+02	2.76E+01	1.26E+02	-3.65E+01	-3.74E+01	3.03E+01	8.45E+01				
4147700000	-1.30E+01	1.51E+02	2.77E+01	9.91E+01	-3.61E+01	-6.79E+01	3.05E+01	7.94E+01				
4237650000	-1.41E+01	1.46E+02	2.74E+01	7.20E+01	-4.19E+01	1.23E+02	2.95E+01	7.30E+01				
4327600000	-1.31E+01	1.40E+02	2.76E+01	4.55E+01	-4.85E+01	1.39E+02	2.97E+01	6.68E+01				
